user,completed,rating,status,pattern_id,average_rating,rating_count,attributes,categories
--willow--,1,1,1,1,1,1,1,1
-carla-,3,5,5,5,5,5,5,5
-onigiri-,0,1,1,1,1,1,1,1
007lager,2,2,2,2,2,2,2,2
0oHannaho0,22,26,26,26,26,18,26,26
13Knits,2,3,3,3,3,3,3,3
1RamblingKnitter,71,73,73,73,73,65,73,73
1SockWonder,0,2,2,2,2,2,2,2
20ksingley,1,1,1,1,1,1,1,1
2knit2sing,2,3,3,3,3,3,3,3
2manychoices,6,8,8,8,8,8,8,8
2xcatz,2,2,2,2,2,2,2,2
3kids1036,7,9,9,9,9,9,9,9
50sgirl87,1,2,2,2,2,2,2,2
52steekin,5,7,7,7,7,6,7,7
802wte162,2,2,2,2,2,2,2,2
A-Tabula-Rasa,15,16,16,16,16,16,16,16
ACBknit,2,2,2,2,2,2,2,2
ADRIANAsYarnZoo,28,31,30,31,31,30,31,31
AGeeksYarn,2,10,10,10,10,4,10,10
AJCee,3,3,3,3,3,3,3,3
ALRed,50,64,64,64,64,63,64,64
ALoves2knit,41,43,43,43,43,43,43,43
APHiker2,1,1,1,1,1,1,1,1
Abbyinc,1,1,1,1,1,1,1,1
Abekin,9,10,10,10,10,10,10,10
AbiJade2000,1,1,1,1,1,1,1,1
Abigail-Nicole,44,49,49,49,49,48,49,49
AbracraftDesigns,5,12,12,12,12,12,12,12
Abril,141,171,171,171,171,171,171,171
AceONeal,44,72,72,72,72,71,72,72
Actinggrl159,3,3,3,3,3,3,3,3
Acwhiteart,12,13,13,13,13,13,13,13
Acwiltrout,0,1,1,1,1,1,1,1
Adara24,5,8,8,8,8,8,8,8
AddieMarie,5,5,5,5,5,3,5,5
AdelitaFierro,3,3,3,3,3,3,3,3
AdellKW,0,1,1,1,1,1,1,1
Adiplomatquilts,0,1,1,1,1,1,1,1
Aebeckwith,1,2,2,2,2,2,2,2
AggroInc,18,27,27,27,27,26,27,27
AgnesBarton,129,139,139,139,139,135,139,139
AgnesEngs,6,8,8,8,8,8,8,8
Agnewliz,0,1,1,1,1,1,1,1
Agreenmonster,14,18,18,18,18,16,18,18
Aijska,99,100,100,100,100,94,100,100
Ainbint,1,1,1,1,1,1,1,1
Akaj,3,5,5,5,5,5,5,5
Akilene,1,6,6,6,6,5,6,6
AlaskaKnitNat,0,5,5,5,5,5,5,5
Alemiah,2,5,5,5,5,5,5,5
Alessa06,19,25,25,25,25,24,25,25
AlexCecil,19,22,22,22,22,22,22,22
Alexac,13,16,15,16,16,16,16,16
Alexchristian,1,1,1,1,1,1,1,1
Alexia7777,1,1,1,1,1,1,1,1
Alexsuitcase,64,75,74,75,75,73,75,75
Alh80,56,57,57,57,57,57,57,57
AliceMaeM,3,3,3,3,3,3,3,3
Aliciakm,4,4,4,4,4,4,4,4
AllTheFluff,24,25,25,25,25,24,25,25
Alllix,2,3,3,3,3,3,3,3
AlohaBeachBum,52,55,54,55,55,51,55,55
AltadenaKnitter,64,67,67,67,67,66,67,67
Alwynnn,1,5,5,5,5,4,5,5
AmandaClaas,1,1,1,1,1,0,1,1
AmandaSteimle,1,1,1,1,1,1,1,1
Amandaadele,11,15,15,15,15,14,15,15
Amandalynn1,5,8,8,8,8,8,8,8
Amasianallison,57,64,64,64,64,57,64,64
Amatczynski,3,3,3,3,3,3,3,3
AmberAmethyst,1,2,2,2,2,2,2,2
AmberLee3,5,6,6,6,6,6,6,6
Amberkitten,16,20,20,20,20,16,20,20
Ameliaarmstrong,2,3,3,3,3,3,3,3
AmelieBelfast,0,1,1,1,1,0,1,1
Amelydia,13,20,20,20,20,20,20,20
AmyB,14,14,14,14,14,9,14,14
AmyK98,10,12,12,12,12,12,12,12
AnaCraft,53,55,55,55,55,36,55,55
Anaocanto,0,1,1,1,1,1,1,1
Anaru84,2,6,6,6,6,6,6,6
