status,rating,user,completed,pattern_id,average_rating,rating_count,attributes,categories
Finished,0.0,174,143,174,174,164,174,174
Finished,1.0,376,317,376,376,355,376,376
Finished,2.0,2765,2416,2765,2765,2601,2765,2765
Finished,3.0,25626,23279,25626,25626,24338,25626,25626
Finished,4.0,67252,61220,67252,67252,63326,67252,67252
Finished,5.0,1,0,1,1,0,1,1
Frogged,0.0,619,162,619,619,576,619,619
Frogged,1.0,363,116,363,363,350,363,363
Frogged,2.0,413,146,413,413,393,413,413
Frogged,3.0,449,162,449,449,431,449,449
Frogged,4.0,492,208,492,492,467,492,492
Hibernating,0.0,58,5,58,58,54,58,58
Hibernating,1.0,91,4,91,91,79,91,91
Hibernating,2.0,201,6,201,201,191,201,201
Hibernating,3.0,459,17,459,459,418,459,459
Hibernating,4.0,378,13,378,378,364,378,378
In progress,0.0,58,5,58,58,52,58,58
In progress,1.0,53,3,53,53,52,53,53
In progress,2.0,339,34,339,339,322,339,339
In progress,3.0,1825,296,1825,1825,1715,1825,1825
In progress,4.0,2444,609,2444,2444,2270,2444,2444
